,User,Text,Date,Favorites,Retweets,Mentions,Hashtags
59,Surmadi_Aby,"Sama Sama min , next Saran nya @danasupport Kalo bisa mulai kerjasama juga dg beberapa merchant yg memang bisa bayar take away untuk resto bisa kirim online juga seperti kompetitor. Jangan hanya on the spot ajah ...sekarang era nya belanja online apalagi masa masa CORONA – at Apartemen Cempaka Mas",2020-05-30 08:18:32+00:00,0,0,@danasupport,
60,robbyaja_,"ditegasin bilang nya rezim laknat, gaditegasih yg kena corona bilangnya rezim gabecus. ENTE MAU NYA APA BOS, MATI JANGAN NGAJAK NGAJAK ORANG TOLONG LAH ",2020-05-30 07:52:17+00:00,0,0,,
61,AprilianaDwiH1,Ayooookkkk solo PO Jogja eeel... Nunggu corona ilang ya El akhir taun yuuuuk,2020-05-30 07:10:57+00:00,0,0,,
62,musniumar,Sekali lagi kami apresiasi PT Kalbe Farma Tbk yg bekerjasama dgn perusahaan dari Korsel utk produksi vaksin Corona ,2020-05-30 06:53:27+00:00,11,114,,
63,musniumar,Fakultas Farmasi Universitas Ibnu Chaldun (UIC) memberi apresiasi yg tinggi kepada PT Kalbe Farma Tbk yang telah bekerjasama dgn perusahaan dari Korea Selatan utk memproduksi vaksin Corona. Semoga sukses agar Corona di Indonesia sgr berakhir. ,2020-05-30 06:48:36+00:00,49,220,,
64,annaffianita,selain hidup berdampingan dengan corona hidup ku slama ini berdampingan dengan para cowo,2020-05-30 06:38:35+00:00,0,1,,
65,attimesbonny,Yaudalayaw nanti aja abis corona w tanggepinnya. Yakali skrg2 ini w balik lg,2020-05-30 06:32:54+00:00,0,0,,
68,draculemihawkz,Wuhan sepi karna corona WA ku sepi kamu kemana,2020-05-30 06:14:40+00:00,0,0,,
69,BacangRich,"Corona udahan yuuuuu... Cape dirumah Terus pengen kuliah,pengen main,pengen kesana sini, garagara dirumah Terus badanku melebar Pula ",2020-05-30 05:55:15+00:00,0,3,,
71,Megaautofilm,"- Pemasangan Bebas Cemas - Di tengah situasi pandemi corona yang mendesak masyarakat untuk melakukan physycal distancing, MEGA FILM memberikan layanan Home Service untuk melakukan pemasangan kaca film di… https://www.instagram.com/p/CAzOpjsFGDh/?igshid=3ojwvfbugnft",2020-05-30 05:34:48+00:00,0,0,,
72,waemaelon_,"Ya allah tuy ayok sm gue yuk, selese corona",2020-05-30 05:15:09+00:00,0,0,,
73,lwrarhb,Gum! corona lama gum ,2020-05-30 05:03:43+00:00,0,0,,
74,reese_one,"Ya ngga masalah dgn protesnya. Yg tengil itu klo sampe harus geruduk istana. Masa iya lagi kondisi pandemi kok harus berkumpul. Ntar muncul kluster istana, ojol semua yg kena Corona, ojol pula yg dicap jelek",2020-05-30 05:00:11+00:00,0,0,,
75,me_idy,Akhir pekan di tengah pandemi corona gini berasa banget kangen ngemall di Jakarta Selatan. Rumah di Barat Nongkinya di Selatan Aku mah gitu orangnya – at Komplek Imigrasi - Daan Mogot,2020-05-30 04:15:11+00:00,0,0,,
77,Expose_com,"Yes, kabarnya mulai bulan Juni sebagian daerah yang angka kasus baru corona mengalami penurunan akan diberlakukan kenormalan baru. Seperti apa suasananya nanti ya.. #thenewnormal",2020-05-30 03:56:35+00:00,0,0,,#thenewnormal
78,Asysyahiry,"Adekku nekat mudik, ngatif corona positif kutuan.",2020-05-30 03:48:47+00:00,0,1,,
79,abyan_taufiq,Dri awal smt uda niat daftar sp. Trus jg uda daftar kepanitiaan biar ga gabut pas sp dimalang. Eh malah ada corona ajg sp nya online. Jadi rapat2 online puyeng sndiri gua males harus on hp terus2an ,2020-05-30 03:41:03+00:00,0,11,,
80,bonekakk,"kalo gada corona dah liburan jauh gue ngelepas penat sm nasabah, gangerti lg deh inima",2020-05-30 03:35:11+00:00,0,0,,
81,reese_one,"Udah corona, halu pula Apes bener dah ah",2020-05-30 03:21:23+00:00,1,0,,
82,SylviaRop,Ya at least corona nambah pengetahuan gue dalam perdramaan korea dan aktor2nya. Telat bgt kesemsem sama oppa nya ,2020-05-30 03:11:50+00:00,1,0,,
83,SylviaRop,HAHA kebucinan w gara2 corona emg udah overload udah gabisa bedain mana lee min ho sm rony ho,2020-05-30 03:10:50+00:00,1,0,,
84,reese_one,"Isi beritanya benar, tapi judulnya yg bias. Karena pulih itu klo udah selesai Corona, bukan selama masih ada",2020-05-30 03:08:22+00:00,0,0,,
85,HellenaHwang,"Dr yg peduli soal corona, sampe merasa mendingan kena dulu biar imun abis itu -_- walaupun gue udh pernah ngerasain yg namanya sakit paru ampe susah ngmg pun, rasanya lebih baik drpd gak hidup dan harus tetap di rumah",2020-05-30 03:04:43+00:00,0,0,,
86,SINDOnews,Corona Kills Everything (2) Ada banyak sektor bisnis yang bakal hancur dan susah bangkit.Berikiy ulasan pakar marketing dan branding @yuswohady,2020-05-30 02:46:53+00:00,0,0,@yuswohady,
87,musniumar,Kondisi keuangan negara bertambah sulit setelah Indonesia diserang wabah Corona. Sudah sulit masih suka dikorupsi lagi. Beberapa bulan lalu saya diwawancara TV ONE mengenai korupsi yang masih merajalela. Ini pandangan saya. Klik YouTube berikut ini. ,2020-05-30 02:41:54+00:00,13,48,,
88,reese_one,Ngga paham gw Katanya mo bersahabat sm Corona Tapi kok masih ngutang buat melawan Jadi yg bener itu yg mana? ,2020-05-30 01:53:28+00:00,0,0,,
89,desita_w,"Memilih hidup berdamping dgn corona , karena pandemi ini gk tau sampai kapan akan berakhir sedangkan hidup harus tetap berlanjut.",2020-05-30 01:46:46+00:00,0,0,,
90,RizalMujtahid4,Kkkk kk kkkk Corona nya tepat sasaran tuh pak siang malam wkwkwwk,2020-05-30 01:30:18+00:00,0,0,,
